order_release_id,customer_paid_amount,total_commission_plus_tcs_tds_deduction,total_logistics_deduction,vendor_payout_amount,source_file
8316977391,749.0079999999999,-136.853,-86.14,526.007,02-2025
8317763604,798.998,-145.989,-90.86,562.151,02-2025
8319977412,599.004,-109.445,-204.1164,285.4386,02-2025
8297234189,799.008,-145.989,-84.96,568.0509999999999,02-2025
8301542467,798.998,-145.989,-90.86,562.151,02-2025
8317335895,699.0060000000001,-127.718,-73.1364,498.14560000000006,02-2025
8319672114,798.998,-145.989,-181.72,471.291,02-2025
8320226527,948.99,-173.396,-83.7564,691.8476,02-2025
8302960748,649.005,-118.581,-86.14,444.27900000000005,02-2025
8290644761,599.004,-109.445,-70.7764,418.7786,02-2025
8319598789,599.004,-109.445,-204.1164,285.4386,02-2025
8289675782,949.001,-173.396,-180.5164,595.0876000000001,02-2025
8292200202,798.998,-145.989,-181.72,471.291,02-2025
8301562025,799.008,-145.989,-80.2164,572.7946,02-2025
8298440857,599.004,-109.445,-213.58,275.975,02-2025
8305989279,798.998,-145.989,-129.7764,523.2346,02-2025
8312717283,599.0039999999999,-109.445,-86.14,403.415,02-2025
8316317663,798.998,-145.989,-181.72,471.291,02-2025
8317466757,798.998,-145.989,-181.72,471.291,02-2025
8302106030,798.998,-145.989,-176.9764,476.0346,02-2025
8315020927,798.998,-145.989,-181.72,471.291,02-2025
8291473799,899.01,-164.26,-89.6564,645.0836,02-2025
8293624584,698.9960000000001,-127.716,-177.0,394.284,02-2025
8320760222,798.998,-145.989,-86.1164,566.8946,02-2025
8315227217,998.992,-182.532,-181.72,634.7480000000002,02-2025
